"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"1","CAM1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"2","CAM11","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"3","CAM13","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0",NA,NA
"4","CAM14","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CAM15","1","0","0","1","0","1","1","0","1","0","1","1","1","0","1","0","0","0","1","0","1","1","0","0","0","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA
"6","CAM16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","CAM17","1","0","1","0","0","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","CAM18","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"9","CAM19","1","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",NA
"10","CAM2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"11","CAM20","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","CAM21","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","CAM22","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CAM24","0","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","CAM25","1","0","1","1","1","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","1","1","1","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA
"16","CAM26","1","1","1","1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","CAM27","0","0","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","CAM28","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA
"19","CAM29",NA,"0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"20","CAM3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA
"21","CAM30",NA,"0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"22","CAM31","1","1","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","CAM33","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","CAM35","0","1","1","0","1","1","0","0","1","0","0","0","0","1","0","0","1","0","1","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","CAM36",NA,"0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"26","CAM37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CAM38","1","0","1","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA
"28","CAM39",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"29","CAM4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","CAM40","1","1","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","0","1","0","1","1","1","1","0","0","0","0",NA,NA,NA,NA,NA,NA
"31","CAM41","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",NA,NA,NA,NA,NA
"32","CAM42",NA,"0","0","0","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","CAM43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"34","CAM44","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA
"35","CAM46",NA,NA,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","CAM47","1","0","0","0","0","1","1","0","0","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1",NA,NA,NA,NA,NA,NA
"37","CAM48","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"38","CAM49","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","CAM5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"40","CAM50","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","1","0","0","0","0",NA,NA,NA,NA,NA,NA
"41","CAM51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"42","CAM52","0","0","0","0","0","1","1","0","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","CAM53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",NA,NA,NA,NA,NA,NA
"44","CAM54",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA
"45","CAM55","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"46","CAM56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA
"47","CAM57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","CAM58","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","CAM59","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","CAM60","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","CAM61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"52","CAM62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"53","CAM63","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","CAM64","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","CAM65","0","1","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1",NA,NA,NA,NA,NA,NA,NA
"56","CAM66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"57","CAM67","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA
"58","CAM68","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA
"59","CAM70","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","CAM72","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","CAM73","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","CAM74","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","CAM77","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","CAM80","0","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","CAM81","1","1","1","1","0","1","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","CAM9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
